Current Factory,Region,Product Name,avg_lead_time,avg_distance,avg_margin_pct,total_units,order_count,cluster,cluster_label
Lot's O' Nuts,Atlantic,Wonka Bar - Fudge Mallows,4.290182481751825,1975.5757706641145,66.66666666666666,2008,548,1,Congested / High-Risk
Lot's O' Nuts,Atlantic,Wonka Bar - Nutty Crunch Surprise,4.244081632653061,1975.5757706641148,71.34670487106017,1857,490,1,Congested / High-Risk
Lot's O' Nuts,Atlantic,Wonka Bar -Scrumdiddlyumptious,4.243932584269663,1975.5757706641148,69.44444444444444,2349,623,1,Congested / High-Risk
Lot's O' Nuts,Gulf,Wonka Bar - Fudge Mallows,3.3163230240549826,990.5176108513162,66.66666666666666,1082,291,2,Slow
Lot's O' Nuts,Gulf,Wonka Bar - Nutty Crunch Surprise,3.3416891891891893,990.5176108513162,71.34670487106017,1088,296,2,Slow
Lot's O' Nuts,Gulf,Wonka Bar -Scrumdiddlyumptious,3.411548387096774,990.5176108513162,69.44444444444444,1203,310,2,Slow
Lot's O' Nuts,Interior,Wonka Bar - Fudge Mallows,3.2685853658536588,875.4253729658452,66.66666666666666,1595,410,2,Slow
Lot's O' Nuts,Interior,Wonka Bar - Nutty Crunch Surprise,3.2688938053097343,875.4253729658453,71.34670487106017,1694,452,2,Slow
Lot's O' Nuts,Interior,Wonka Bar -Scrumdiddlyumptious,3.39760348583878,875.4253729658452,69.44444444444444,1723,459,2,Slow
Lot's O' Nuts,Pacific,Wonka Bar - Fudge Mallows,3.0833743409490335,688.4086285836167,66.66666666666666,2229,569,2,Slow
Lot's O' Nuts,Pacific,Wonka Bar - Nutty Crunch Surprise,2.987762237762238,688.4086285836167,71.34670487106017,2116,572,2,Slow
Lot's O' Nuts,Pacific,Wonka Bar -Scrumdiddlyumptious,2.935238095238095,688.4086285836167,69.44444444444444,2468,672,2,Slow
Secret Factory,Atlantic,Lickable Wallpaper,2.8568571428571428,734.5807391619761,50.0,139,35,0,Fast & Reliable
Secret Factory,Atlantic,Wonka Gum,3.2364864864864864,734.5807391619761,52.0,169,37,0,Fast & Reliable
Secret Factory,Gulf,Everlasting Gobstopper,3.98,850.9577262192516,80.0,4,1,2,Slow
Secret Factory,Gulf,Lickable Wallpaper,3.5840000000000005,850.9577262192518,50.0,37,10,2,Slow
Secret Factory,Gulf,Wonka Gum,3.052692307692308,850.9577262192516,52.0,120,26,0,Fast & Reliable
Secret Factory,Interior,Everlasting Gobstopper,3.99,434.62392599608773,80.0,3,1,2,Slow
Secret Factory,Interior,Lickable Wallpaper,2.8573333333333335,434.62392599608773,50.0,71,15,0,Fast & Reliable
Secret Factory,Interior,Wonka Gum,2.4282758620689657,434.62392599608773,52.0,112,29,0,Fast & Reliable
